step,mean_v,std_v,active_fraction,edge_density,peak_v
0,0.009618557002044507,0.04758248789076866,0.03780864197530864,0.0018061008613996486,0.2597691811619858
40,0.024529892259523015,0.09042930023332084,0.06095679012345679,0.0044538765454318376,0.5363207652450651
80,0.030128168825217527,0.09034470272283815,0.09027777777777778,0.0055109339045684436,0.464958171217066
120,0.03714540773204276,0.09618377948292885,0.11246141975308642,0.006568941958976884,0.43988283896254776
160,0.04451005446699793,0.10184740812252918,0.13406635802469136,0.007578911755598029,0.42513302136672326
200,0.05202641415086534,0.10666608409162676,0.16126543209876543,0.008564618634045881,0.41430703647118544
240,0.05959407849129034,0.11075193669858842,0.1853780864197531,0.00958744831909958,0.4067096031797754
280,0.06718692775306674,0.11420518425742444,0.20717592592592593,0.010666947649122032,0.4010025765183554
320,0.07486672321763059,0.11709517036958562,0.2364969135802469,0.01177357218316814,0.39665824743637096
360,0.08275695299477934,0.11945662021362943,0.2654320987654321,0.012913264098497627,0.3932035366570304
400,0.09111961800596549,0.1213438127223288,0.2959104938271605,0.014198212346213657,0.39008861821926033
440,0.10096014197718155,0.12323382908184058,0.3275462962962963,0.015927775358501498,0.38659942766898014
480,0.1154302153466372,0.12760015771783584,0.3761574074074074,0.018723487058485064,0.43862278264001836
520,0.13216764488593302,0.12872318166319524,0.42746913580246915,0.021274010387979346,0.44701420985898116
560,0.1479142153929061,0.12456921972579994,0.4637345679012346,0.023542260967022558,0.4321544642747614
600,0.1572873271887841,0.11478339090000983,0.5138888888888888,0.022912601415731034,0.4082143481275673
640,0.15365476269971548,0.10319173024790873,0.5590277777777778,0.018813243491805784,0.3749700307109142
680,0.14132845313858758,0.09393717443431304,0.5162037037037037,0.017680064165659676,0.3758324091290583
720,0.1369867086500296,0.09450896706833513,0.4367283950617284,0.019196413307440412,0.385398633042467
760,0.14200071248839188,0.10162219607483143,0.4390432098765432,0.021229277203611722,0.38032023900761125
800,0.1454343592228821,0.10221005683353762,0.498070987654321,0.020467372574577827,0.37046144892205857
840,0.15489677905394886,0.1052890633933915,0.5760030864197531,0.020582268217471073,0.4199514569610151
880,0.16151721183587964,0.09903022820080087,0.5860339506172839,0.020084054694290022,0.402911547585859
920,0.15470724011098483,0.08870163037827777,0.558641975308642,0.017161340615513825,0.3396125662089725
960,0.139877245756437,0.08633385034855781,0.5225694444444444,0.014403695903620829,0.37391067170687264
1000,0.12871781577981112,0.08809124304132313,0.47511574074074076,0.014565334295421417,0.380190007969468
1040,0.13546740522699457,0.09984448574983598,0.47858796296296297,0.017954884261298595,0.38981891237677435
1080,0.15708886530013444,0.10889756859978618,0.5526620370370371,0.021122157971037545,0.392433221537077
1120,0.17400391644719665,0.09924720432043686,0.6483410493827161,0.021779753174275995,0.3927704387092934
1160,0.18094607628347847,0.08252376931128762,0.7089120370370371,0.020436909106089186,0.39891773951241355
1200,0.1734296293080507,0.06733675108869387,0.6311728395061729,0.01702170108115197,0.3720031944638648
1240,0.15255471756140734,0.06414111557892885,0.5694444444444444,0.01447017239953697,0.28746735910924553
1280,0.13515329392111752,0.0755708729126046,0.5167824074074074,0.015770060028413847,0.29130136998847495
1320,0.14082944100886793,0.09439324415459606,0.4689429012345679,0.0192772959132464,0.31811085526650557
1360,0.15959577380768306,0.10404429386844533,0.5347222222222222,0.02205957495574788,0.36849884157457463
1400,0.17036847587782497,0.09758961536078212,0.6226851851851852,0.022600811418751185,0.3557498387926839
1440,0.17324940581621687,0.0858227080008792,0.6294367283950617,0.020830992654432327,0.35071350091198084
1480,0.16502670432797584,0.07588614286976282,0.6170910493827161,0.017772772476380257,0.3112669452459193
1520,0.1517245263829971,0.07453296868618359,0.5630787037037037,0.016466465206580853,0.32327939419461577
1560,0.14649285407410512,0.0824581931924941,0.5291280864197531,0.018160952679429763,0.37310169532589
1600,0.15412194501623883,0.08821741776202938,0.5482253086419753,0.02061871420333486,0.37027196974804644
